,category,score
0,tech,0
1,business,-0.4
2,sport,-0.3
3,sport,0
4,entertainment,0.1
5,politics,-0.3
6,politics,-0.3
7,sport,-0.3
8,sport,0
9,entertainment,-0.1
10,entertainment,0
11,business,-0.3
12,business,-0.2
13,politics,-0.3
14,sport,0.2
15,business,-0.2
16,politics,-0.1
17,sport,0.3
18,business,-0.1
19,tech,-0.3
20,tech,-0.5
21,tech,-0.2
22,sport,0
23,sport,-0.4
24,tech,0
25,sport,0
26,entertainment,0.4
27,tech,0
28,politics,-0.5
29,entertainment,0.1
30,politics,0.1
31,tech,0
32,entertainment,0.2
33,entertainment,0
34,business,-0.3
35,politics,-0.5
36,tech,0
37,entertainment,-0.3
38,politics,-0.4
39,business,-0.3
40,politics,-0.2
41,sport,0.1
42,business,-0.2
43,sport,-0.1
44,tech,0.1
45,entertainment,-0.2
46,politics,0
47,politics,-0.5
48,politics,0.2
49,business,-0.3
50,sport,-0.3
51,politics,-0.4
52,business,0
53,business,0
54,sport,-0.5
55,politics,-0.3
56,business,-0.1
57,sport,0.1
58,sport,0.1
59,business,-0.3
60,business,-0.1
61,sport,0.2
62,business,-0.6
63,sport,0
64,business,0.1
65,tech,0
66,business,-0.4
67,entertainment,0
68,tech,0
69,business,-0.3
70,politics,-0.2
71,business,-0.1
72,politics,-0.1
73,sport,-0.4
74,business,0.2
75,tech,0
76,business,-0.4
77,sport,0
78,sport,0
79,business,-0.5
80,business,-0.5
81,sport,-0.1
82,politics,0.2
83,business,0
84,entertainment,0.2
85,politics,-0.3
86,politics,-0.1
87,business,-0.3
88,entertainment,0.1
89,business,-0.3
90,sport,0.4
91,sport,0.1
92,politics,-0.3
93,sport,0.5
94,politics,-0.5
95,sport,0
96,business,-0.3
97,sport,-0.1
98,business,-0.2
99,entertainment,0.2
100,entertainment,0
101,sport,0.2
102,business,-0.3
103,politics,-0.2
104,politics,-0.5
105,tech,0
106,sport,0.3
107,entertainment,0
108,sport,0
109,tech,0
110,business,-0.3
111,entertainment,0.2
112,sport,0.2
113,entertainment,0
114,sport,0
115,entertainment,0
116,entertainment,0.1
117,politics,-0.3
118,sport,0
119,sport,-0.3
120,entertainment,0
121,politics,-0.1
122,business,-0.4
123,tech,-0.4
124,business,-0.4
125,business,-0.3
126,tech,0
127,sport,-0.5
128,politics,-0.5
129,sport,0.1
130,tech,0
131,entertainment,-0.3
132,sport,0
133,business,0
134,business,-0.5
135,tech,0
136,entertainment,0.1
137,tech,0
138,sport,0.5
139,business,-0.3
140,business,-0.4
141,business,-0.5
142,tech,0
143,sport,-0.2
144,tech,0
145,business,-0.4
146,sport,0.1
147,entertainment,0.5
148,sport,0.2
149,tech,0
150,sport,-0.5
151,tech,0.1
152,politics,-0.5
153,business,-0.4
154,tech,-0.3
155,entertainment,0
156,sport,0.2
157,business,-0.2
158,politics,0.1
159,business,-0.3
160,entertainment,0.3
161,politics,-0.1
162,politics,-0.5
163,entertainment,0.3
164,politics,-0.5
165,business,-0.1
166,entertainment,-0.3
167,politics,-0.4
168,politics,-0.4
169,entertainment,0.4
